index_finger,thumb_tip,middle_finger,ring_finger,pinky_finger,gesture
194.07579035871333,164.87753327566102,193.93272677852104,195.43138345026125,197.8868588933311,stop
194.51788223960935,165.51045774892404,194.18029420299118,195.83431277088926,198.7111381681726,stop
194.79560262763346,166.42793492141655,194.51257243767014,196.0178098668597,198.24640346532846,stop
195.17128066480993,166.96236951782922,194.99762121460063,196.8210207647616,199.50744465864105,stop
195.4143132136797,167.06822671422435,195.2381775876446,196.7843917189278,199.32735765219206,stop
195.60688272893447,167.32768192934256,195.42171943114084,196.73454285318763,199.25085877954072,stop
195.2532416902317,166.74288577515912,194.9848952438466,196.24397781017302,198.88827490398333,stop
195.36820823301628,167.07625924894094,195.41213678189766,197.44318476715915,200.18730937436652,stop
195.9253315513248,167.60125450712644,195.50386916199594,197.2643298383298,200.50316137786191,stop
196.14245967608107,167.51387673591643,195.81853095717102,197.24958290827462,199.58091910362995,stop
196.07441908318734,167.8154956275762,195.60151809956736,197.65940292295966,200.434268076294,stop
196.04020587687307,168.09820084161768,195.3415078088041,197.30029976111322,200.720168681416,stop
195.26737830915687,166.54953020398918,194.87489910631,196.54175346841274,198.78319299166714,stop
195.40912526556696,166.71711910211627,195.1414308311892,196.61400049897966,198.9220503042905,stop
195.61616708631274,167.24056759525698,195.5010287883121,197.11400588606625,199.84885807738652,stop
195.99068859322105,168.01759743901658,195.39090673749448,196.87964408189117,199.92500780713297,stop
195.98396318492385,167.86298232844285,195.5273822607587,196.5679870650117,198.9572010627047,stop
195.7399795763926,168.00177754757112,195.84721667700967,197.0785157070501,199.53378323920882,stop
195.71473069911903,167.34671025495032,195.47888730951564,196.8898989737846,199.7134636665508,stop
195.76491804984818,167.3148446193111,195.5823987507018,197.02984698547874,199.7958600872233,stop
195.752743504355,167.65290395137418,195.40086141780165,197.13034482443206,199.9568364422046,stop
195.2682390478178,167.59745478183953,195.03394783194037,196.79840467587516,199.74516747824157,stop
195.5990583281049,167.72047813522167,195.41747510046775,196.88273868710792,199.38947367692117,stop
195.60615593224207,167.9712700741919,195.39655388272578,196.91764641254213,199.3950937975633,stop
195.86184495016357,168.10203951559555,195.51711439637256,196.79974048661728,199.32009087240914,stop
195.8956685867502,168.13526738752816,195.59931336607457,196.7937688816624,199.4620693729109,stop
195.55645669330804,167.97410234558066,195.43970986736002,197.39964832277875,199.99296113712268,stop
195.56670741923506,168.02591531304017,195.1190389729826,197.04902083015804,199.93263590040505,stop
195.65571578876197,168.07353260423034,195.51860684184885,197.2930789754912,199.99371663845423,stop
196.1490784931437,167.77030558844055,195.8967445428499,197.5129566307001,200.4051816501219,stop
195.48486541232745,167.5825335839791,195.037209013563,197.13129855835425,200.32946199070227,stop
195.6389570558068,168.21651013041222,195.21263894494624,197.45115599376334,200.65217157441086,stop
195.29939638644694,167.86565992254478,194.6182799430746,196.5654814523531,199.47238469184617,stop
195.732588656471,168.59911647945054,195.45608897191124,196.7663692879615,199.2571677105443,stop
195.41268447079648,168.1282572368292,194.9604139709452,196.7203937392692,199.62742803573337,stop
195.62506157216382,167.9011955526782,195.28639359203962,196.862190500818,199.60801612057983,stop
195.75215321842356,167.90321622935204,195.4593897631548,197.26238582132703,200.383713241181,stop
195.62094785955367,167.63549398310042,195.17959126348234,197.08814222774882,200.13574791385886,stop
195.43878023749897,167.618403180834,195.22643739230702,197.1286488143262,199.88913896532685,stop
195.6521745512976,167.87071047990722,195.60892737035016,197.1311389783334,199.6647909601626,stop
195.7001352128513,167.70426495317648,195.6345655057768,197.09824992863,199.69714255114107,stop
195.2204108708209,167.62216625798058,195.10775058962065,196.534569880248,199.15867169606494,stop
195.10057938558077,167.64876556964168,194.74190301706543,196.37995812481526,199.26029604046713,stop
195.12342196844006,167.41882289645253,194.83552523042871,196.70196102473548,199.65182962592667,stop
195.84802128146376,167.63095970773338,195.39543426114085,197.0433843823675,199.78273716573116,stop
195.06850791902474,167.170212144879,194.83035093349608,196.8186615325632,199.64184095557505,stop
195.61470120900262,167.97579472788726,195.2739840356349,196.96716497677642,199.41211370708203,stop
196.06586297492558,168.14159981413542,195.7438629170777,197.3118696567384,199.63227267408598,stop
195.16413051840567,167.01664607760907,195.09938373873692,196.75019165355508,199.40336937081386,stop
194.96398417251555,166.8376680408662,194.83921198492504,196.57810888764078,199.22750002783798,stop
195.6355526132729,167.8630241099985,195.28810173846938,197.15773940522226,199.77591590737137,stop
195.4588562144349,167.608617570494,195.27718198058267,196.78537355576267,199.14972834087303,stop
195.60400568829834,167.66304334248278,195.2383136206047,197.01719736405,200.34978976272984,stop
195.849671133589,167.90941174149984,195.5792847086432,197.39921194581441,200.5545181897505,stop
