index_finger,thumb_tip,middle_finger,ring_finger,pinky_finger,gesture
250.73018024872482,284.45795687795936,259.3430761308046,244.57821873378595,223.62618433339085,rock
250.6698388588411,284.2387952559113,259.0066723393673,244.43635825943835,223.34369772743528,rock
250.65443944954137,284.6863574322848,258.3585882562871,244.2309854133759,223.47909440640348,rock
250.4732316473087,284.15172436081355,257.86960473071207,243.93885694830374,223.1243114860571,rock
250.61628741695176,284.96655950589235,258.19257875600135,243.97922178856334,223.13209003851657,rock
250.68449510550175,284.9118434160384,258.4103398771009,244.09380979477595,223.12406417137174,rock
250.51323777113026,284.7107149618545,258.1755466001905,243.40133574779355,223.07145642431516,rock
250.42121047297636,284.06603730745815,258.5828583864105,243.30962632162658,222.8813836183049,rock
250.4251364171928,284.4003256384377,260.6601293996407,244.39505797969983,223.08536569326188,rock
250.44219547862096,284.3294876615485,258.62894021427496,243.54825728197324,222.8001283453795,rock
250.42510825168063,284.4981806513039,257.75912437605973,242.95626869145036,223.2329251982293,rock
250.54432796113295,284.5654559061725,258.5079669937444,244.03045698806352,223.06281107554253,rock
250.3690772944666,284.4502284283094,258.1930900963985,243.51127313647152,222.64246968362718,rock
250.2033219899521,284.13824966542865,257.3826985840015,242.73056433970805,223.1190454321125,rock
250.18941980235002,284.1070769644945,259.07577442796673,243.367665220596,222.88429074968207,rock
250.3266898629157,284.53751093675345,259.7138683789152,243.9071657824419,222.870941703317,rock
250.73750804065702,284.8226656896209,259.1771943920412,244.22133879075335,223.30685344965778,rock
250.42455127976396,284.1658841601663,258.2998623310227,243.379867086745,222.95708066251805,rock
250.6421271180315,284.864730438078,258.39131557558323,243.77413237358877,223.30339010647128,rock
250.5024269902899,284.3350883958102,257.50671931577125,243.07532495785836,222.9340720619068,rock
250.2372477744421,284.15827342017445,258.292209400132,242.9493583054982,222.524704861452,rock
250.5878712713063,284.4545207991548,258.43343171427483,243.1492549730268,222.9301717069125,rock
250.47286359339154,284.4009654181041,258.9304213984833,243.4429870384975,222.9447001053582,rock
250.9458160466096,284.74138020550765,260.1627804370001,244.38665902131737,223.17980148070447,rock
250.65880476652674,284.3357984939542,258.9642227669187,243.32859729161137,223.01896810134033,rock
250.4614118891126,283.82425865671536,259.25471416356163,243.51424665475963,222.72573341733377,rock
251.0130995101868,284.2068054157444,260.412449085316,244.68180886128977,223.30534361485755,rock
250.69512166172237,284.1336268403686,259.2603666889873,243.42499011201613,222.9985472379491,rock
